2022-10-18 15:01:50.476 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 15:01:50.524 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21ms. Found 0 repository interfaces.
2022-10-18 15:01:51.011 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=dbde734c-db92-3603-9938-64559c36198f
2022-10-18 15:01:51.478 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:01:51.709 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:01:52.266 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-18 15:01:52.284 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-18 15:01:52.286 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-18 15:01:52.286 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-18 15:01:52.431 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-18 15:01:52.431 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2989 ms
2022-10-18 15:01:53.046 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-18 15:01:53.141 [Druid-ConnectionPool-Create-1203022979] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2022-10-18 15:05:12.489 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 15:05:13.522 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 15:05:13.534 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 15:05:13.584 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 repository interfaces.
2022-10-18 15:05:14.098 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=dbde734c-db92-3603-9938-64559c36198f
2022-10-18 15:05:14.694 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:05:14.972 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:05:15.620 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-18 15:05:15.641 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-18 15:05:15.642 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-18 15:05:15.642 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-18 15:05:15.809 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-18 15:05:15.810 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3284 ms
2022-10-18 15:05:16.458 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-18 15:05:16.564 [Druid-ConnectionPool-Create-566447096] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2022-10-18 15:08:48.983 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 15:08:50.159 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 15:08:50.162 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 15:08:50.211 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25ms. Found 0 repository interfaces.
2022-10-18 15:08:50.741 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=dbde734c-db92-3603-9938-64559c36198f
2022-10-18 15:08:51.203 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:08:51.475 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:08:52.132 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-18 15:08:52.151 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-18 15:08:52.153 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-18 15:08:52.153 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-18 15:08:52.322 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-18 15:08:52.323 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3294 ms
2022-10-18 15:08:52.988 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-18 15:08:53.096 [Druid-ConnectionPool-Create-1424029551] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2022-10-18 15:13:16.874 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 15:13:17.974 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 15:13:17.980 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 15:13:18.027 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
2022-10-18 15:13:18.533 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=dbde734c-db92-3603-9938-64559c36198f
2022-10-18 15:13:18.978 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:13:19.223 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:13:19.788 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-18 15:13:19.807 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-18 15:13:19.809 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-18 15:13:19.809 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-18 15:13:19.954 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-18 15:13:19.955 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3049 ms
2022-10-18 15:13:20.612 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-18 15:13:20.713 [Druid-ConnectionPool-Create-1455871253] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2022-10-18 15:13:56.525 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 15:13:57.601 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 15:13:57.605 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 15:13:57.646 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
